Age Group,Month,Seasonally Adjusted Monthly Unemployment (Number)_Both sexes, _Male, _Female,Seasonally Adjusted Monthly Unemployment Rate (%)_Both sexes, _Male, _Female
15 - 24 years,1998M01,45.4,24.8,20.7,13.4,13.5,13.3
15 - 24 years,1998M02,44.6,24.5,20.1,13.3,13.5,13
15 - 24 years,1998M03,42.7,23.5,19.2,12.8,13,12.6
15 - 24 years,1998M04,39.2,21.3,17.9,12,12,11.9
15 - 24 years,1998M05,37,20.2,16.8,11.4,11.4,11.3
15 - 24 years,1998M06,35.8,19.9,15.9,11,11.2,10.8
15 - 24 years,1998M07,34.5,19.4,15.1,10.6,10.9,10.3
15 - 24 years,1998M08,33.8,19.1,14.7,10.4,10.7,10
15 - 24 years,1998M09,34.1,19.1,14.9,10.4,10.6,10.1
15 - 24 years,1998M10,33.6,18.6,15,10.2,10.3,10.2
15 - 24 years,1998M11,33.2,18.1,15.1,10,10,10.1
15 - 24 years,1998M12,33.7,18.1,15.6,10.1,9.9,10.3
15 - 24 years,1999M01,32.8,18,14.8,9.7,9.7,9.7
15 - 24 years,1999M02,32.1,17.9,14.3,9.4,9.6,9.2
15 - 24 years,1999M03,31.9,17.7,14.1,9.3,9.5,9
15 - 24 years,1999M04,31.5,17.5,14,9.1,9.3,8.9
15 - 24 years,1999M05,31.2,17.2,14,9,9.1,8.8
15 - 24 years,1999M06,30.1,16.4,13.6,8.7,8.7,8.6
15 - 24 years,1999M07,29,15.6,13.4,8.4,8.3,8.5
15 - 24 years,1999M08,28.2,15,13.1,8.1,8,8.3
15 - 24 years,1999M09,28.5,15.3,13.2,8.2,8.1,8.3
15 - 24 years,1999M10,27.9,15.3,12.6,8,8.1,7.9
15 - 24 years,1999M11,27.4,15.1,12.3,7.9,8,7.7
15 - 24 years,1999M12,26.7,14.3,12.4,7.7,7.6,7.8
15 - 24 years,2000M01,26,13.6,12.4,7.5,7.2,7.9
15 - 24 years,2000M02,25.4,12.9,12.5,7.3,6.8,7.9
15 - 24 years,2000M03,25,12.8,12.3,7.2,6.8,7.8
15 - 24 years,2000M04,25.1,13.1,12,7.2,6.9,7.6
15 - 24 years,2000M05,24.6,13.2,11.4,7.1,6.9,7.3
15 - 24 years,2000M06,24.3,13.2,11.1,7,6.9,7
15 - 24 years,2000M07,24.1,13.3,10.7,6.9,7,6.8
15 - 24 years,2000M08,23.7,13.1,10.5,6.7,6.8,6.6
15 - 24 years,2000M09,22.7,12.4,10.3,6.5,6.5,6.5
15 - 24 years,2000M10,21.9,11.7,10.2,6.3,6.2,6.5
15 - 24 years,2000M11,21.5,11.4,10.1,6.2,6.1,6.5
15 - 24 years,2000M12,21.4,11.6,9.8,6.3,6.2,6.3
15 - 24 years,2001M01,21.4,12.1,9.3,6.3,6.5,6.1
15 - 24 years,2001M02,21.6,12.3,9.2,6.4,6.7,6.1
15 - 24 years,2001M03,21.9,12.5,9.4,6.5,6.8,6.2
15 - 24 years,2001M04,22.4,12.7,9.8,6.7,6.8,6.5
15 - 24 years,2001M05,23.1,13,10.1,6.8,7,6.7
15 - 24 years,2001M06,24.1,13.5,10.5,7.1,7.3,6.9
15 - 24 years,2001M07,25.4,14.5,10.9,7.5,7.8,7.1
15 - 24 years,2001M08,26,15.1,10.9,7.6,8.1,7
15 - 24 years,2001M09,26.2,15.3,10.8,7.7,8.3,7
15 - 24 years,2001M10,26.5,15.7,10.8,7.8,8.5,7
15 - 24 years,2001M11,27.1,16.3,10.8,8,8.8,7
15 - 24 years,2001M12,26.5,15.8,10.7,7.9,8.6,6.9
15 - 24 years,2002M01,26.6,15.7,10.9,7.9,8.6,7.1
15 - 24 years,2002M02,27.4,16.1,11.3,8.2,8.9,7.4
15 - 24 years,2002M03,27.9,16.4,11.5,8.4,9.1,7.6
15 - 24 years,2002M04,28.1,16.7,11.5,8.5,9.3,7.7
15 - 24 years,2002M05,27.9,16.5,11.4,8.5,9.2,7.6
15 - 24 years,2002M06,26.9,16,10.9,8.2,9,7.3
15 - 24 years,2002M07,25.7,15.3,10.4,7.8,8.6,6.9
15 - 24 years,2002M08,25.3,15.1,10.2,7.7,8.5,6.8
15 - 24 years,2002M09,27.1,15.8,11.2,8.2,8.9,7.5
15 - 24 years,2002M10,30.1,17.4,12.7,9.1,9.7,8.4
15 - 24 years,2002M11,32,18.4,13.6,9.6,10.1,9
15 - 24 years,2002M12,32.3,18.6,13.7,9.7,10.2,9
15 - 24 years,2003M01,30.4,18.1,12.3,9.1,9.9,8.1
15 - 24 years,2003M02,28.8,17.3,11.5,8.7,9.5,7.6
15 - 24 years,2003M03,28,16.9,11.2,8.5,9.4,7.4
15 - 24 years,2003M04,27.9,16.7,11.3,8.5,9.3,7.5
15 - 24 years,2003M05,28.1,16.6,11.5,8.5,9.4,7.6
15 - 24 years,2003M06,28.9,16.9,12,8.7,9.5,7.9
15 - 24 years,2003M07,29.6,17.2,12.4,9,9.6,8.2
15 - 24 years,2003M08,29.5,17.2,12.3,9,9.6,8.2
15 - 24 years,2003M09,29.4,17.1,12.3,8.9,9.6,8.2
15 - 24 years,2003M10,28.3,16.6,11.7,8.6,9.3,7.8
15 - 24 years,2003M11,28.3,16.5,11.9,8.6,9.2,7.9
15 - 24 years,2003M12,28.9,16.5,12.4,8.8,9.3,8.2
15 - 24 years,2004M01,30.3,17.1,13.3,9.1,9.6,8.6
15 - 24 years,2004M02,30.6,16.9,13.6,9.2,9.5,8.9
15 - 24 years,2004M03,29.9,16.8,13.1,9.1,9.5,8.6
15 - 24 years,2004M04,27.8,16,11.8,8.5,9,8
15 - 24 years,2004M05,27.4,15.7,11.7,8.4,8.8,7.9
15 - 24 years,2004M06,28.1,16.2,11.9,8.5,9,7.9
